epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5626,1.54484,4.14103,1.18656,0.00038,0.06,0.00023,8e-05,nan,nan,nan,0.00044,0.00044,0.00044
2,22.0851,1.49379,1.60656,1.19061,0.00038,0.06,0.00023,8e-05,nan,nan,nan,0.00089109,0.00089109,0.00089109
3,30.6621,1.74086,1.53241,1.27306,0.00038,0.06,0.00023,8e-05,nan,nan,nan,0.00133307,0.00133307,0.00133307
4,39.1254,1.77781,1.41402,1.31557,0.00038,0.06,0.00023,8e-05,nan,nan,nan,0.00176595,0.00176595,0.00176595
5,47.7392,1.64481,1.19967,1.2138,0.11593,0.095,0.03603,0.01255,2.53851,32.4112,2.44055,0.0019208,0.0019208,0.0019208
6,56.228,1.68066,1.16072,1.23135,0.01449,0.01,0.00136,0.00051,nan,nan,nan,0.001901,0.001901,0.001901
7,63.8111,1.56014,1.03309,1.21273,0.00074,0.095,0.00053,0.00015,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,71.2642,1.45936,0.90801,1.14161,0.76317,0.74,0.78333,0.47397,1.2934,nan,1.28647,0.0018614,0.0018614,0.0018614
9,79.9164,1.44877,0.92796,1.1449,0.34756,0.26636,0.17782,0.09594,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,87.5389,1.41593,0.85618,1.12638,0.79555,0.8366,0.88255,0.52951,1.41185,2.35949,1.26094,0.0018218,0.0018218,0.0018218
11,96.4927,1.39907,0.85338,1.11697,0.75367,0.78,0.79395,0.51235,1.25394,4.68746,1.21685,0.001802,0.001802,0.001802
12,104.369,1.28702,0.80277,1.0902,0.59839,0.615,0.58232,0.24787,1.91522,3.1738,1.69921,0.0017822,0.0017822,0.0017822
13,112.219,1.23699,0.77293,1.07151,0.73448,0.705,0.74925,0.39529,1.77627,1.20462,1.49356,0.0017624,0.0017624,0.0017624
14,120.153,1.21192,0.78035,1.0631,0.84923,0.84491,0.91113,0.58184,1.26392,1.13611,1.19412,0.0017426,0.0017426,0.0017426
15,128.804,1.19254,0.75565,1.05649,0.87617,0.84909,0.89647,0.52815,1.43377,1.02726,1.27985,0.0017228,0.0017228,0.0017228
16,136.499,1.20406,0.72484,1.04778,0.68926,0.57,0.61526,0.33027,1.72106,1.60648,1.4195,0.001703,0.001703,0.001703
17,144.389,1.20366,0.72336,1.03741,0.81177,0.715,0.79082,0.47317,1.50373,1.42178,1.32729,0.0016832,0.0016832,0.0016832
18,152.374,1.21009,0.71659,1.04782,0.77275,0.77,0.80662,0.4808,1.34757,3.21845,1.18373,0.0016634,0.0016634,0.0016634
19,160.306,1.14312,0.67801,1.02709,0.83199,0.855,0.88228,0.55415,1.40793,1.16915,1.21066,0.0016436,0.0016436,0.0016436
20,167.982,1.15384,0.66293,1.03001,0.8944,0.895,0.93119,0.65956,1.07484,0.74218,1.10604,0.0016238,0.0016238,0.0016238
21,176.648,1.09272,0.68338,1.03351,0.85356,0.88,0.90499,0.58205,1.22796,0.91433,1.15264,0.001604,0.001604,0.001604
22,184.027,1.12113,0.66536,1.00808,0.04698,0.035,0.03116,0.01335,nan,nan,nan,0.0015842,0.0015842,0.0015842
